case,split,cores,baseline_no_l2_makespan_cycles,baseline_l2_makespan_cycles,final_no_l2_makespan_cycles,final_l2_makespan_cycles,hardware_baseline_ratio,hardware_final_ratio,schedule_no_l2_ratio,schedule_l2_ratio,l2_strict_improvement
case_030,holdout,2,2079367,2079367,2079367,2079367,1.0,1.0,1.0,1.0,False
case_030,holdout,3,1580290,1580290,1580290,1580290,1.0,1.0,1.0,1.0,False
case_030,holdout,4,1344466,1344466,1344466,1344466,1.0,1.0,1.0,1.0,False
case_030,holdout,5,1344466,1344466,1344466,1344466,1.0,1.0,1.0,1.0,False
case_031,validation,1,1414369,1414159,1414369,1414159,1.0001484981533193,1.0001484981533193,1.0,1.0,False
case_031,validation,2,857984,857784,857984,857784,1.0002331589304534,1.0002331589304534,1.0,1.0,False
case_031,validation,3,657311,657311,655996,655951,1.0,1.0000686026852617,1.0020045853938133,1.0020733255990157,True
case_031,validation,4,533935,533883,531562,531061,1.000097399617519,1.0009433944499784,1.0044642017299958,1.005313890494689,True
case_031,validation,5,449197,449159,446078,446054,1.0000846025572236,1.0000538051446686,1.0069920507175876,1.006961040591498,True
case_032,validation,1,41443,41443,41443,41443,1.0,1.0,1.0,1.0,False
case_032,validation,2,20967,20867,20819,20735,1.004792255714765,1.0040511212925005,1.0071088909169508,1.006366047745358,True
case_032,validation,3,19275,17020,17664,16825,1.1324911868390128,1.0498662704309063,1.0912024456521738,1.0115898959881129,True
case_032,validation,4,17051,17051,17051,17051,1.0,1.0,1.0,1.0,False
case_032,validation,5,17051,17051,17051,17051,1.0,1.0,1.0,1.0,False
case_033,holdout,1,1774196,1774080,1774196,1774080,1.000065386002886,1.000065386002886,1.0,1.0,False
case_033,holdout,2,1096366,1095391,1096366,1095391,1.0008900931265639,1.0008900931265639,1.0,1.0,False
case_033,holdout,3,747400,747062,747400,747062,1.0004524390211254,1.0004524390211254,1.0,1.0,False
case_033,holdout,4,561362,553918,560261,552539,1.0134388122429674,1.0139754840834765,1.0019651555257283,1.0024957514311208,True
case_033,holdout,5,561362,553918,560261,552539,1.0134388122429674,1.0139754840834765,1.0019651555257283,1.0024957514311208,True
case_034,holdout,1,842996,842733,842996,842733,1.0003120798639664,1.0003120798639664,1.0,1.0,False
case_034,holdout,2,547325,547274,547325,547274,1.0000931891520517,1.0000931891520517,1.0,1.0,False
case_034,holdout,3,390295,389230,388131,386889,1.0027361714153584,1.0032102230872422,1.0055754371591035,1.0060508311169354,True
case_034,holdout,4,338094,338076,338094,338076,1.000053242466191,1.000053242466191,1.0,1.0,False
case_034,holdout,5,292576,290391,281526,279271,1.0075243378754852,1.0080745942113574,1.0392503711912933,1.039817954603235,True
case_035,holdout,1,169571,169571,169571,169571,1.0,1.0,1.0,1.0,False
case_035,holdout,2,105261,105261,105261,105261,1.0,1.0,1.0,1.0,False
case_035,holdout,3,98946,98946,98946,98946,1.0,1.0,1.0,1.0,False
case_035,holdout,4,95602,93256,95602,93256,1.0251565582911555,1.0251565582911555,1.0,1.0,False
case_035,holdout,5,95602,93256,95602,93256,1.0251565582911555,1.0251565582911555,1.0,1.0,False
case_036,holdout,1,931510,931510,931510,931510,1.0,1.0,1.0,1.0,False
case_036,holdout,2,466068,466068,466068,466068,1.0,1.0,1.0,1.0,False
