case,cores,baseline_l2_makespan,winner_l2_makespan,winner,strict_improvement,l2_ordering_speedup,official_calls,candidate_cache_hits,generation_failures,evaluation_failures
case_054,3,386718,386718,baseline,False,1.0,2,0,0,0
case_054,4,331197,331197,baseline,False,1.0,2,0,0,0
case_054,5,271436,271436,baseline,False,1.0,2,0,0,0
case_055,2,64097,62412,balanced_window,True,1.0269980132025893,2,0,0,0
case_055,3,51873,48301,balanced_window,True,1.073952920229395,2,0,0,0
case_055,4,40884,40884,baseline,False,1.0,1,0,0,0
case_055,5,34895,34895,baseline,False,1.0,2,0,0,0
case_056,2,188576,186986,reuse_window,True,1.008503310408266,2,0,0,0
case_056,3,150152,149107,balanced_window,True,1.0070083899481581,2,0,0,0
case_056,4,135060,134333,balanced_window,True,1.0054119240990673,2,0,0,0
case_056,5,135060,134333,balanced_window,True,1.0054119240990673,2,0,0,0
case_057,2,31115,31115,balanced_window,False,1.0,2,0,0,0
case_057,3,21456,21456,balanced_window,False,1.0,2,0,0,0
case_057,4,16621,16619,balanced_window,True,1.0001203441843673,2,0,0,0
case_057,5,16621,16619,balanced_window,True,1.0001203441843673,2,0,0,0
case_058,2,3629895,3621089,reuse_window,True,1.002431865110192,1,0,0,0
case_058,3,1506765,1506765,baseline,False,1.0,0,0,0,0
case_058,4,1506765,1506765,baseline,False,1.0,0,0,0,0
case_058,5,915736,915736,baseline,False,1.0,0,0,0,0
case_059,2,410916,410916,baseline,False,1.0,0,0,0,0
case_059,3,351835,351835,baseline,False,1.0,1,0,0,0
case_059,4,185216,185216,baseline,False,1.0,0,0,0,0
case_059,5,185216,185216,baseline,False,1.0,0,0,0,0
case_060,2,524719,524719,baseline,False,1.0,0,0,0,0
case_060,3,427594,427594,baseline,False,1.0,1,0,0,0
case_060,4,348914,348914,baseline,False,1.0,2,0,0,0
case_060,5,306436,306008,reuse_window,True,1.0013986562442811,1,0,0,0
case_061,2,47337,46314,reuse_window,True,1.0220883534136547,2,0,0,0
case_061,3,36521,33172,reuse_window,True,1.1009586398167128,2,0,0,0
case_061,4,31205,30975,reuse_window,True,1.0074253430185633,2,0,0,0
case_061,5,30639,30639,baseline,False,1.0,2,0,0,0
case_062,2,1784824,1784824,baseline,False,1.0,0,0,0,0
case_062,3,1189955,1189955,baseline,False,1.0,1,0,0,0
case_062,4,892782,892782,balanced_window,False,1.0,2,0,0,0
case_062,5,715381,715381,balanced_window,False,1.0,2,0,0,0
case_063,2,663139,637833,balanced_window,True,1.0396749619414487,2,0,0,0
case_063,3,446447,446447,balanced_window,False,1.0,2,0,0,0
case_063,4,335694,335694,balanced_window,False,1.0,2,0,0,0
case_063,5,266761,266761,baseline,False,1.0,2,0,0,0
case_064,2,14233,13970,balanced_window,True,1.01882605583393,2,0,0,0
case_064,3,12510,11582,balanced_window,True,1.0801243308582282,2,0,0,0
case_064,4,11821,11821,baseline,False,1.0,2,0,0,0
case_064,5,11821,11821,baseline,False,1.0,2,0,0,0
case_065,2,29065,29025,balanced_window,True,1.0013781223083549,2,0,0,0
case_065,3,20606,20606,baseline,False,1.0,1,0,0,0
case_065,4,17844,17844,baseline,False,1.0,1,0,0,0
case_065,5,17844,17844,baseline,False,1.0,1,0,0,0
case_066,2,185656,185656,baseline,False,1.0,2,0,0,0
case_066,3,132382,131549,balanced_window,True,1.0063322412181013,2,0,0,0
case_066,4,102232,99552,balanced_window,True,1.0269206043072967,2,0,0,0
case_066,5,91786,91786,baseline,False,1.0,2,0,0,0
case_067,2,32130317,32116988,reuse_window,True,1.0004150140106538,2,0,0,0
case_067,3,21555677,21555677,baseline,False,1.0,2,0,0,0
case_067,4,16060080,16060080,baseline,False,1.0,2,0,0,0
case_067,5,12878522,12878522,baseline,False,1.0,2,0,0,0
case_068,2,203899,203899,baseline,False,1.0,2,0,0,0
case_068,3,164663,164663,baseline,False,1.0,2,0,0,0
case_068,4,136482,136354,reuse_window,True,1.0009387330037989,2,0,0,0
case_068,5,136482,136354,reuse_window,True,1.0009387330037989,2,0,0,0
case_069,2,16323,16288,balanced_window,True,1.0021488212180747,2,0,0,0
case_069,3,13740,13740,baseline,False,1.0,2,0,0,0
case_069,4,13740,13740,baseline,False,1.0,2,0,0,0
case_069,5,13740,13740,baseline,False,1.0,2,0,0,0
case_070,2,68584,65978,reuse_window,True,1.0394980144896784,1,0,0,0
case_070,3,45534,45278,balanced_window,True,1.0056539599805645,2,0,0,0
case_070,4,42676,40683,reuse_window,True,1.0489885210038592,1,0,0,0
case_070,5,37974,37765,balanced_window,True,1.0055342248113333,2,0,0,0
case_071,2,13123,12631,reuse_window,True,1.038951785290159,2,0,0,0
case_071,3,10300,10300,baseline,False,1.0,2,0,0,0
case_071,4,10300,10300,baseline,False,1.0,2,0,0,0
case_071,5,10300,10300,baseline,False,1.0,2,0,0,0
case_072,2,14391144,14311602,reuse_window,True,1.0055578683644222,1,0,0,0
case_072,3,10386798,10386798,baseline,False,1.0,1,0,0,0
case_072,4,7583813,7583813,baseline,False,1.0,1,0,0,0
case_072,5,7185795,7100083,reuse_window,True,1.0120719715530087,2,0,0,0
case_073,2,5135220,5135220,baseline,False,1.0,1,0,0,0
case_073,3,4326521,4269593,reuse_window,True,1.0133333551933403,2,0,0,0
case_073,4,2699606,2699606,baseline,False,1.0,1,0,0,0
case_073,5,2798206,2798206,baseline,False,1.0,1,0,0,0
case_074,2,924834,924834,baseline,False,1.0,1,0,0,0
case_074,3,666888,661625,reuse_window,True,1.0079546570942755,1,0,0,0
