case,makespan_k1,makespan_k2,makespan_k3,makespan_k4,makespan_k5,added_copy_bytes_k1,added_copy_bytes_k2,added_copy_bytes_k3,added_copy_bytes_k4,added_copy_bytes_k5,speedup_k1,speedup_k2,speedup_k3,speedup_k4,speedup_k5
case_013,263949,166316,112530,86044,70094,0,131072,167936,290816,360448,1.0,1.587033117679598,2.3455878432418023,3.067604946306541,3.765643279025309
case_014,17698626,11873679,8687186,8237041,6890740,71010720,265001472,262318608,266032656,262318608,1.0,1.4905764253859313,2.0373255505292507,2.1486630939435654,2.5684652156372176
case_015,177362,113380,97318,85038,78844,180256,3050540,3214384,3345456,3443760,1.0,1.5643146939495505,1.8224994348424752,2.085679343352384,2.2495307188879305
case_016,7715523,7715523,7715523,7715523,7715523,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
case_017,162810,95785,79783,79737,62170,22528,2032660,2091028,2149396,936404,1.0,1.6997442188234066,2.0406602910394445,2.0418375409157608,2.618787196396976
case_018,1004367,613121,467483,393004,323742,1970176,9836456,9836456,9836456,9836456,1.0,1.6381220020191771,2.148456735325135,2.555615210023308,3.102368552736438
case_019,81144,46216,39913,27047,24792,0,1040000,1042592,266552,378136,1.0,1.7557555824822573,2.033021822463859,3.0001109180315746,3.272991287512101
case_020,532746,267708,179492,135660,135660,0,0,0,0,0,1.0,1.9900264467255369,2.96807657165779,3.927067669172932,3.927067669172932
case_021,6567937,3102580,2822635,1557596,1249504,4501504,6656000,72744960,9523200,8908800,1.0,2.1169275248341703,2.3268814423402246,4.216714090174859,5.256435353548288
case_022,56780,34100,29789,28322,28322,0,1346040,1346040,1346040,1346040,1.0,1.6651026392961876,1.9060727114035385,2.0048019207683074,2.0048019207683074
case_023,122614,72315,52621,43979,43602,0,1782584,1791800,1840952,1890104,1.0,1.6955541727165873,2.330134357005758,2.788012460492508,2.8121187101509104
case_024,2555343,2555343,2555343,2555343,2555343,0,0,0,0,0,1.0,1.0,1.0,1.0,1.0
case_025,4863026,2969082,2051388,1562605,979918,0,20616192,20699136,20795904,694272,1.0,1.637888748104633,2.370602733368821,3.112127505031662,4.962686673782908
case_026,99203,71676,66096,65030,64735,0,2249880,2323608,2324760,1166722,1.0,1.3840476589095374,1.50089264100702,1.5254959249577118,1.5324476712751989
case_027,2363952,1119508,750886,565244,565244,1400832,3317760,4620288,5529600,5529600,1.0,2.1115990238569085,3.1482169064278733,4.182179731231114,4.182179731231114
case_028,43836040,20389484,13744872,10285826,8251690,277412256,48190464,52442112,56736768,61025280,1.0,2.149933759971562,3.189265058270459,4.261790934437351,5.312371162755751
case_029,37555,25272,13976,13976,13976,0,270490,122958,122958,122958,1.0,1.4860319721430832,2.6871064682312538,2.6871064682312538,2.6871064682312538
case_030,2808034,2200787,1723596,1386306,1386306,5519360,66977792,66977792,19053060,19053060,1.0,1.2759226585762276,1.6291718012805785,2.0255513573482333,2.0255513573482333
case_031,1414369,866386,697002,583325,481753,3491328,5059588,17801292,17828940,17856588,1.0,1.6324929073184469,2.029217993635599,2.424667209531565,2.935880004898776
case_032,41443,27012,25171,21007,21007,0,266406,1045676,399580,399580,1.0,1.5342440396860657,1.646458225735966,1.97281858428143,1.97281858428143
case_033,1774196,1086331,724891,538947,538947,4592640,6924292,9530372,10082308,10082308,1.0,1.6332001940476706,2.44753487075988,3.291967484743398,3.291967484743398
case_034,842996,596520,438919,381731,363718,1079832,15055988,15055988,15060596,15069812,1.0,1.413189834372695,1.920618610723163,2.208350906790384,2.3177186721581005
case_035,169571,106131,99355,98103,97043,0,525204,529812,534420,534420,1.0,1.5977518349963724,1.706718333249459,1.7284996381354292,1.7473800274105291
case_036,931510,467772,390499,236236,190308,0,8064,147840,17280,21888,1.0,1.9913761405128996,2.3854350459284146,3.943133138048392,4.894749563864893
