case,cores,status,winner,t_i_1,t_i_k,speedup_t1_over_tk,added_copy_bytes,unique_plans,official_evaluations,cache_hits,failed_candidates,run_disposition,actual_wall_time_seconds,cold_cache_estimated_wall_time_seconds,peak_worker_rss_bytes
case_039,2,success,b1,1435262,870099,1.6495387306501903,13533184,5,5,0,,executed,40.37748942151666,40.37748942151666,226889728
case_039,3,success,b1,1435262,702273,2.043737976541886,15388672,5,5,0,,executed,40.58687355183065,40.58687355183065,220332032
case_039,4,success,b1,1435262,565084,2.5399091108578546,16969728,5,5,0,,executed,38.5418781042099,38.5418781042099,147148800
case_039,5,success,b1,1435262,537968,2.667931921601285,18665472,5,5,0,,executed,38.982879504561424,38.982879504561424,289845248
case_040,2,success,b2a_w4,253454,147941,1.7132099958767346,847184,6,6,0,,executed,8.480196760967374,8.480196760967374,
case_040,3,success,b2a_w4,253454,133644,1.8964861871838616,871760,6,6,0,,executed,8.58126457221806,8.58126457221806,
case_040,4,success,b2a_w4,253454,127075,1.9945229195357073,896336,6,6,0,,executed,8.685150854289532,8.685150854289532,
case_040,5,success,b2a_w4,253454,119987,2.112345504096277,920912,6,6,0,,executed,8.824045097455382,8.824045097455382,
case_041,2,success,b1,6003957,3673618,1.6343443983560622,21554184,6,6,0,,executed,563.9448683280498,563.9448683280498,521240576
case_041,3,success,b2a_w4,6003957,3425567,1.7526899926347959,106948624,6,6,0,,executed,467.5760389864445,467.5760389864445,501714944
case_041,4,success,b1,6003957,2164802,2.7734439454509006,28938252,6,6,0,,executed,448.22597282752395,448.22597282752395,508211200
case_041,5,success,b1,6003957,2012046,2.984005832868632,31777808,6,6,0,,executed,471.70658843778074,471.70658843778074,515051520
case_042,2,success,b2a_w4,1686740,1007984,1.6733797361862888,19385376,6,6,0,,executed,31.732591189444065,31.732591189444065,148074496
case_042,3,success,b2a_w4,1686740,756202,2.2305415748702067,19459104,6,6,0,,executed,32.2598334196955,32.2598334196955,173121536
case_042,4,success,b2a_w4,1686740,623840,2.7038022569889715,19532832,6,6,0,,executed,32.393664410337806,32.393664410337806,161447936
case_042,5,success,b2a_w4,1686740,565621,2.9821028568599823,19606560,6,6,0,,executed,29.853877732530236,29.853877732530236,226930688
case_043,2,success,b2a_w4,677656,349722,1.9376990867031527,2549426,6,6,0,,executed,52.576558416709304,52.576558416709304,204062720
case_043,3,success,b2a_w8,677656,286671,2.3638805459917465,5522026,6,6,0,,executed,53.39881602860987,53.39881602860987,240517120
case_043,4,success,b2a_w16,677656,287497,2.357088943536802,8415762,6,6,0,,executed,52.491712260991335,52.491712260991335,218214400
case_043,5,success,b2a_w8,677656,237206,2.8568248695226934,5690482,6,6,0,,executed,52.85772005096078,52.85772005096078,281075712
case_044,2,success,b2a_w4,154407,87589,1.762858349792782,2915104,6,6,0,,executed,2.803145343437791,2.803145343437791,
case_044,3,success,b2a_w4,154407,105381,1.4652261792922823,4775904,6,6,0,,executed,2.95758275128901,2.95758275128901,
case_044,4,success,b2a_w4,154407,133879,1.15333248679778,6636704,6,6,0,,executed,3.045488227158785,3.045488227158785,
case_044,5,success,single,154407,154407,1.0,4438112,6,6,0,,executed,3.385288719087839,3.385288719087839,
case_045,2,success,b1,125614,80336,1.5636078470424217,217088,6,6,0,,executed,4.086431486532092,4.086431486532092,
case_045,3,success,b1,125614,55620,2.2584322186263934,323584,6,6,0,,executed,4.457513440400362,4.457513440400362,
case_045,4,success,b1,125614,44141,2.845744319340296,466944,6,6,0,,executed,4.41722783818841,4.41722783818841,
case_045,5,success,b1,125614,36900,3.404173441734417,450560,6,6,0,,executed,4.752755677327514,4.752755677327514,
case_046,2,success,b2a_w4,276455,154820,1.785654308228911,3151648,5,5,0,,executed,1.589163264259696,1.589163264259696,
case_046,3,success,b2a_w4,276455,133612,2.0690881058587554,5012448,6,6,0,,executed,2.0512320771813393,2.0512320771813393,
case_046,4,success,b0,276455,144472,1.9135541835096075,6774944,5,5,0,,executed,1.7659920547157526,1.7659920547157526,
case_046,5,success,b2a_w4,276455,147428,1.8751865317307432,6873248,6,6,0,,executed,2.279000997543335,2.279000997543335,
case_047,2,success,b2a_w16,326508,253283,1.2891034929308323,1518112,6,6,0,,executed,100.81016009673476,100.81016009673476,244293632
case_047,3,success,b2a_w16,326508,233731,1.3969392164496792,1747908,6,6,0,,executed,99.43764552101493,99.43764552101493,265158656
case_047,4,success,b2a_w16,326508,217701,1.4998001846569378,1801306,6,6,0,,executed,98.11643828824162,98.11643828824162,231985152
case_047,5,success,b2a_w16,326508,213351,1.530379515446377,1828066,6,6,0,,executed,93.16257595270872,93.16257595270872,319991808
case_048,2,success,b2a_w16,222220,176165,1.2614310447591746,650944,6,6,0,,adopted_locked_development_manifest,1.8159725999998955,1.8159725999998955,
case_048,3,success,b2a_w16,222220,163641,1.3579726352197798,651072,6,6,0,,adopted_locked_development_manifest,1.3600689999998394,1.3600689999998394,
case_048,4,success,b2a_w16,222220,163676,1.357682250299372,651200,6,6,0,,adopted_locked_development_manifest,1.3711350000000948,1.3711350000000948,
case_048,5,success,b2a_w16,222220,163676,1.357682250299372,651328,6,6,0,,adopted_locked_development_manifest,1.469983700000057,1.469983700000057,
case_049,2,success,b2a_w8,196276,139420,1.4078037584277723,1434798,6,6,0,,executed,13.465865962207317,13.465865962207317,
case_049,3,success,b2a_w16,196276,119670,1.6401437285869473,2958270,6,6,0,,executed,13.670263713225722,13.670263713225722,
case_049,4,success,b2a_w8,196276,112197,1.7493872385179638,1570092,6,6,0,,executed,13.512999149039388,13.512999149039388,
case_049,5,success,b2a_w16,196276,106993,1.8344751525800753,3030208,6,6,0,,executed,13.965453624725342,13.965453624725342,
case_050,2,success,b2a_w16,149690,98315,1.5225550526369322,2499756,6,6,0,,executed,15.419445356354117,15.419445356354117,
case_050,3,success,b2a_w16,149690,75193,1.990743819238493,2598792,6,6,0,,executed,15.555450927466154,15.555450927466154,
case_050,4,success,b2a_w16,149690,67066,2.231980437181284,2694180,6,0,6,,executed,0.9820805247873068,16.819395624792378,
case_050,5,success,b2a_w16,149690,64330,2.32690812995492,2744404,6,6,0,,executed,15.68460575863719,15.68460575863719,
case_051,2,success,single,607628,607628,1.0,0,4,4,0,,executed,1.6539815533906221,1.6539815533906221,
case_051,3,success,single,607628,607628,1.0,0,5,5,0,,executed,1.9612722676247358,1.9612722676247358,
case_051,4,success,single,607628,607628,1.0,0,6,6,0,,executed,2.339772505685687,2.339772505685687,
case_051,5,success,single,607628,607628,1.0,0,6,6,0,,executed,2.394938910380006,2.394938910380006,
case_052,2,success,b1,180301,108708,1.6585807852227987,726294,6,6,0,,executed,3.166866924613714,3.166866924613714,
case_052,3,success,b2a_w4,180301,88831,2.029708097398431,2746432,6,6,0,,executed,3.3393109887838364,3.3393109887838364,
case_052,4,success,b2a_w4,180301,82250,2.1921094224924014,2801728,6,6,0,,executed,3.5096468459814787,3.5096468459814787,
case_052,5,success,b2a_w4,180301,72062,2.502026033138131,2857024,6,6,0,,executed,3.583424773067236,3.583424773067236,
case_053,2,success,b2a_w4,1472686,765799,1.9230711975335564,3596396,6,6,0,,executed,87.86749447695911,87.86749447695911,304508928
case_053,3,success,b2a_w4,1472686,588970,2.500443146510009,5521516,6,6,0,,executed,85.76205344498158,85.76205344498158,228839424
case_053,4,success,b2a_w4,1472686,494780,2.9764460972553457,7431276,6,6,0,,executed,84.4504436198622,84.4504436198622,238489600
case_053,5,success,b2a_w16,1472686,505895,2.9110507121042906,14981424,6,6,0,,executed,84.55603791214526,84.55603791214526,259612672
case_054,2,success,b2a_w16,815051,517697,1.5743784491700743,6563522,6,6,0,,executed,149.7245478592813,149.7245478592813,278896640
case_054,3,success,b2a_w16,815051,440388,1.850756605538752,6895214,6,6,0,,executed,142.09667993709445,142.09667993709445,268947456
case_054,4,success,b2a_w16,815051,365690,2.2288030845798352,7141466,6,6,0,,executed,140.28995997272432,140.28995997272432,297664512
case_054,5,success,b2a_w16,815051,309877,2.6302403857014234,7332666,6,6,0,,executed,129.13800152391195,129.13800152391195,343584768
case_055,2,success,b2a_w4,118835,71645,1.6586642473305884,1977060,6,6,0,,adopted_locked_development_manifest,1.3880608999998003,1.3880608999998003,
case_055,3,success,b2a_w4,118835,60780,1.955166173083251,2001636,6,6,0,,adopted_locked_development_manifest,1.452100900000005,1.452100900000005,
case_055,4,success,b2a_w4,118835,52781,2.2514730679600614,2018020,6,6,0,,adopted_locked_development_manifest,1.491736100000253,1.491736100000253,
case_055,5,success,b1,118835,46207,2.5717964810526546,894358,6,6,0,,adopted_locked_development_manifest,1.576745899999878,1.576745899999878,
