case,cores,makespan_cycles,added_copy_bytes,speedup_t1_over_tk,selected_plan,reported_value_kind,officially_measured
case_050,5,64330,2744404,2.32690812995492,b2a_w16,officially_measured_after_fallback,True
case_051,1,607628,0,1.0,single_core_baseline,officially_measured_original,True
case_051,2,607628,0,1.0,single,officially_measured_original,True
case_051,3,607628,0,1.0,single,officially_measured_after_fallback,True
case_051,4,607628,0,1.0,single,officially_measured_after_fallback,True
case_051,5,607628,0,1.0,single,officially_measured_after_fallback,True
case_052,1,180301,0,1.0,single_core_baseline,officially_measured_original,True
case_052,2,108708,726294,1.6585807852227987,b1,officially_measured_original,True
case_052,3,88831,2746432,2.029708097398431,b2a_w4,officially_measured_after_fallback,True
case_052,4,82250,2801728,2.1921094224924014,b2a_w4,officially_measured_after_fallback,True
case_052,5,72062,2857024,2.502026033138131,b2a_w4,officially_measured_after_fallback,True
case_053,1,1472686,5405536,1.0,single_core_baseline,officially_measured_original,True
case_053,2,765799,3596396,1.9230711975335564,b2a_w4,officially_measured_original,True
case_053,3,588970,5521516,2.500443146510009,b2a_w4,officially_measured_after_fallback,True
case_053,4,494780,7431276,2.9764460972553457,b2a_w4,officially_measured_after_fallback,True
case_053,5,494780,7431276,2.9764460972553457,inherit_k4,officially_measured_after_fallback,True
case_054,1,815051,0,1.0,single_core_baseline,officially_measured_original,True
case_054,2,517697,6563522,1.5743784491700743,b2a_w16,officially_measured_original,True
case_054,3,440388,6895214,1.850756605538752,b2a_w16,officially_measured_after_fallback,True
case_054,4,365690,7141466,2.2288030845798352,b2a_w16,officially_measured_after_fallback,True
case_054,5,309877,7332666,2.630240385701424,b2a_w16,officially_measured_after_fallback,True
case_055,1,118835,69632,1.0,single_core_baseline,officially_measured_original,True
case_055,2,71645,1977060,1.6586642473305884,b2a_w4,officially_measured_original,True
case_055,3,60780,2001636,1.955166173083251,b2a_w4,officially_measured_after_fallback,True
case_055,4,52781,2018020,2.2514730679600614,b2a_w4,officially_measured_after_fallback,True
case_055,5,46207,894358,2.5717964810526546,b1,officially_measured_after_fallback,True
case_056,1,277285,0,1.0,single_core_baseline,officially_measured_original,True
case_056,2,210518,2913858,1.3171557776532172,b2a_w16,officially_measured_original,True
case_056,3,182132,3059426,1.5224397689587772,b2a_w16,officially_measured_after_fallback,True
case_056,4,164272,3187008,1.6879626473166456,b2a_w16,officially_measured_after_fallback,True
case_056,5,160648,3267474,1.726040784821473,b2a_w16,officially_measured_after_fallback,True
case_057,1,59726,94216,1.0,single_core_baseline,officially_measured_original,True
case_057,2,35529,1124990,1.6810492836837514,b2a_w4,officially_measured_original,True
case_057,3,28308,1137280,2.109862936272432,b2a_w4,officially_measured_after_fallback,True
case_057,4,26544,1153668,2.250075346594334,b2a_w4,officially_measured_after_fallback,True
case_057,5,26476,1165960,2.255854358664451,b2a_w4,officially_measured_after_fallback,True
case_058,1,4539717,28696576,1.0,single_core_baseline,officially_measured_original,True
case_058,2,3875932,122425344,1.171258164487922,b2a_w4,officially_measured_original,True
case_058,3,1529236,34037760,2.968617662676003,b0,officially_measured_after_fallback,True
case_058,4,1529236,34037760,2.968617662676003,inherit_k3,officially_measured_after_fallback,True
case_058,5,972688,39665664,4.667187217278305,b0,officially_measured_after_fallback,True
case_059,1,829473,1691648,1.0,single_core_baseline,officially_measured_original,True
case_059,2,370884,5046272,2.2364755556993563,b0,officially_measured_original,True
case_059,3,370884,5046272,2.2364755556993563,inherit_k2,officially_measured_after_fallback,True
case_059,4,187820,5406720,4.416318815887552,b0,officially_measured_after_fallback,True
case_059,5,187820,5406720,4.416318815887552,inherit_k4,officially_measured_after_fallback,True
case_060,1,888789,2068520,1.0,single_core_baseline,officially_measured_original,True
case_060,2,552794,5445690,1.6078123134476858,b1,officially_measured_original,True
case_060,3,427246,6721662,2.080274595900254,b1,officially_measured_after_fallback,True
case_060,4,388078,7163986,2.2902328913259704,b1,officially_measured_after_fallback,True
case_060,5,331141,8007770,2.6840197982128458,b1,officially_measured_after_fallback,True
case_061,1,77191,0,1.0,single_core_baseline,officially_measured_original,True
case_061,2,55008,221910,1.4032686154741127,b1,officially_measured_original,True
