case,cores,winner,baseline_makespan,winner_makespan,strict_improvement,official_calls,candidate_cache_hits,failures
case_075,2,baseline,992854,992854,False,1,0,0
case_075,3,mapping_locality_one_move,933924,933924,False,1,0,0
case_075,4,mapping_locality_one_move,800301,798947,True,2,0,0
case_075,5,baseline,751559,751559,False,2,0,0
case_076,2,baseline,4589392,4589392,False,1,0,0
case_076,3,baseline,3601264,3601264,False,1,0,0
case_076,4,baseline,3091221,3091221,False,1,0,0
case_076,5,mapping_locality_one_move,2191253,2187949,True,1,0,0
case_077,2,baseline,294734,294734,False,1,0,0
case_077,3,baseline,216777,216777,False,1,0,0
case_077,4,mapping_locality_one_move,157225,157044,True,1,0,0
case_077,5,baseline,133298,133298,False,1,0,0
case_078,2,baseline,1067021,1067021,False,0,0,0
case_078,3,baseline,711922,711922,False,1,0,0
case_078,4,baseline,538711,538711,False,1,0,0
case_078,5,baseline,433085,433085,False,1,0,0
case_079,2,baseline,15438610,15438610,False,1,0,0
case_079,3,baseline,10278153,10278153,False,1,0,0
case_079,4,baseline,7687887,7687887,False,1,0,0
case_079,5,baseline,7687887,7687887,False,1,0,0
case_080,2,baseline,187580,187580,False,0,0,0
case_080,3,baseline,101509,101509,False,0,0,0
case_080,4,baseline,101509,101509,False,0,0,0
case_080,5,baseline,75193,75193,False,1,0,0
case_081,2,baseline,83829,83829,False,1,0,0
case_081,3,baseline,63387,63387,False,1,0,0
case_081,4,baseline,48576,48576,False,1,0,0
case_081,5,baseline,42657,42657,False,1,0,0
case_082,2,mapping_locality_one_move,428638,427139,True,1,0,0
case_082,3,mapping_locality_one_move,335460,331007,True,1,0,0
case_082,4,baseline,267131,267131,False,2,0,0
case_082,5,mapping_locality_one_move,233487,230968,True,1,0,0
case_083,2,baseline,438429,438429,False,1,0,0
case_083,3,baseline,292405,292405,False,0,0,0
case_083,4,baseline,220025,220025,False,0,0,0
case_083,5,baseline,181015,181015,False,1,0,0
case_084,2,baseline,1275814,1275814,False,0,0,0
case_084,3,baseline,836220,836220,False,0,0,0
case_084,4,baseline,625992,625992,False,0,0,0
case_084,5,baseline,501224,501224,False,0,0,0
case_085,2,baseline,2387337,2387337,False,1,0,0
case_085,3,baseline,2147360,2147360,False,1,0,0
case_085,4,baseline,2021879,2021879,False,2,0,0
case_085,5,mapping_locality_one_move,1870479,1870479,False,1,0,0
case_086,2,baseline,71279,71279,False,1,0,0
