case,cores,plan_sha256,graph_sha256,no_l2_source,same_core_speedup,no_l2_makespan,no_l2_added_copy_bytes,no_l2_scheduled_copy_bytes,no_l2_spill_added_copy_bytes,no_l2_partition_added_copy_bytes,no_l2_cross_task_traffic_bytes,no_l2_cross_core_transfer_count,no_l2_copy_in_hits,no_l2_copy_in_misses,no_l2_cache_hit_bytes,no_l2_cache_miss_bytes,no_l2_cache_hit_rate_bytes,l2_makespan,l2_added_copy_bytes,l2_scheduled_copy_bytes,l2_spill_added_copy_bytes,l2_partition_added_copy_bytes,l2_cross_task_traffic_bytes,l2_cross_core_transfer_count,l2_copy_in_hits,l2_copy_in_misses,l2_cache_hit_bytes,l2_cache_miss_bytes,l2_cache_hit_rate_bytes
case_009,3,b48769c0bd5979fc9ef0b1fb9eeb0590765735daa66f250bd5b4a0f389ecf504,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,stage1_verified_reuse,1.035260963203959,90370,1238032,1733364,8192,1229840,521604,670,,,,,,87292,1238032,1733364,8192,1229840,521604,670,127,959,201384,1010238,0.16621025369298345
case_009,4,157faf3b60aa3733a60ec5b0b0f981ff49baf8b21d3366188acf434d806448be,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,stage1_verified_reuse,1.0335698721758078,88702,1493532,1988864,0,1493532,610056,790,,,,,,85821,1493532,1988864,0,1493532,610056,790,231,1023,317708,1060962,0.23044528422320062
case_009,5,d17c97604e22879e282ab592861438fb9bb96680fc3fcc0fba204e1dbe15b1ec,06b73d07c450878db8f6dace8ed08e362b45f5dd6e06fb80b098f165190f222a,stage1_verified_reuse,1.03264864599083,84007,1602452,2097784,0,1602452,681666,817,,,,,,81351,1602452,2097784,0,1602452,681666,817,241,1041,267824,1148156,0.18914391446206869
case_010,1,04cf08aa1e3b9223bb51277aea1d2486a7135d2448de77afd4863cc503d17534,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,stage1_verified_reuse,1.0,86969,0,384150,0,0,0,0,,,,,,86969,0,384150,0,0,0,0,0,93,0,384078,0.0
case_010,2,ff76d91104368310513a26a51f51b50b402b1a2cb6a46528ba726ec247e53984,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,stage1_verified_reuse,1.0,53794,923272,1307422,98688,824584,390788,90,,,,,,53794,923272,1307422,98688,824584,390788,90,18,199,47104,822162,0.05418824617550899
case_010,3,098328bf45e6bb5bdf37eedd97aedad14be1b7ded4c8cc84a0647123172b252f,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,stage1_verified_reuse,1.0175417015204449,41359,1418344,1802494,0,1418344,554964,125,,,,,,40646,1418344,1802494,0,1418344,554964,125,59,218,308416,939042,0.2472355782719739
case_010,4,bc4d5fdfe936d1ee14567fa5bb6fe7682c05e04897164b6ac44f63a4dffefb16,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,stage1_verified_reuse,1.0,38905,489772,873922,0,489772,95766,34,,,,,,38905,489772,873922,0,489772,95766,34,32,128,289024,489060,0.3714560381655451
case_010,5,9a9a8b3f762c7c62c29baa236d379048646057a9703369acd00e52f93b0750e3,fd0b07588473d8b2ce05fab4798808cbc7f60cf1638e05608adc3d62061b8775,stage1_verified_reuse,1.0,37143,548260,932410,0,548260,125394,38,,,,,,37143,548260,932410,0,548260,125394,38,34,136,244224,562720,0.3026529722012928
case_011,1,938fe72d4f151dd8a5f60e6b9fc9fd81bc6e81b270b6fed741da49cc97d4c51e,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,stage1_verified_reuse,1.0,184697,0,606208,0,0,0,0,,,,,,184697,0,606208,0,0,0,0,0,176,0,540672,0.0
case_011,2,5ca9f12cbb2cce513d308952f22cd742ec739de698cf143976c1f39aa474527d,2da7df4ccc8a4eb86347f0a567aacac628e7d30ab943cd99996f2c74620d80b9,stage1_verified_reuse,1.0,92646,180224,786432,0,180224,0,0,,,,,,92646,180224,786432,0,180224,0,0,0,264,0,720896,0.0
